Cidades	Aprovados	Reprovados	Abandono	Outros	banheiro e agua encanada 2010	IDHM 2010	IDHM Educação 2010	Taxa de analfabetismo - 11 a 14 anos 2010	Taxa de analfabetismo - 15 a 17 anos 2010	extremamente pobres 2010	pobres 2010	 vulneraveis a pobreza 2010	criancas extremamente pobres 2010	criancas pobres 2010	criancas vulneraveis a pobreza 2010	Renda per capita dos extremamente pobres 2010	Renda per capita dos pobres 2010	Renda per capita dos vulneraveis a pobreza 2010
Natal	42651	21113	1921	18165	97,54	0,763	0,694	4,51	2,87	2,92	10,5	29,16	5,91	19,91	46,88	37,76	90,42	161,87
Parnamirim	6740	2782	489	2148	98,52	0,766	0,726	3,71	2,44	2,68	10,91	29,01	4,74	19,32	44,29	37,34	92,7	159,85
Ceara-Mirim	5030	1564	709	1606	78,86	0,616	0,505	9,72	5,7	12,12	31,29	58,91	17,7	45,17	75	26,86	76,47	132,73
Sao Paulo Potengi	1037	144	170	207	81,18	0,622	0,555	7,32	6,24	15,32	32,43	58,61	25,02	48,51	77,6	35,84	74,04	127,82
Macau	1444	726	138	497	90,68	0,665	0,572	6,66	4,25	7,58	18,75	42,91	10,29	27,74	58,03	27,85	77,67	143,24
Santa Cruz	810	528	326	705	83,01	0,635	0,564	5,73	4,51	15,6	34,56	59,41	24,69	51,69	76,98	34,66	73,17	126,02
Nova Cruz	2391	994	250	864	73,65	0,629	0,537	11,12	9,35	18,69	35,8	60,69	28,08	51,59	76,06	33,21	67,43	120,65
Angicos	885	420	96	213	81,58	0,624	0,53	6,71	4,97	11,04	29,17	57,43	13,19	37,21	69,12	29,01	77,52	136,99
Currais Novos	1987	534	23	411	90,81	0,691	0,617	3,34	2,74	7,7	22,64	46,57	12,42	35,61	62,58	36,45	83,23	141,44
Caico	3572	1267	207	138	93,91	0,71	0,619	2,85	2,62	3,69	12,1	34,65	5,98	19,48	49,93	39,71	88,53	161,75
Assu	2481	1456	117	748	82,73	0,661	0,568	5,9	4,91	7,68	22,16	52,23	12,12	34,33	66,93	35,5	83,97	150,91
Mossoro	17085	6391	774	4775	90,97	0,72	0,663	4,54	2,58	3,72	12,81	35,33	6,06	21,37	50,4	33,58	90,62	161,7
Apodi	1972	466	103	459	83,63	0,639	0,571	5,11	3,47	13,98	31,03	58,37	17,92	42,99	71,49	32,92	73,29	131,51
Umarizal	965	269	74	156	80,8	0,618	0,506	8,38	3,9	16,21	33,29	61,96	26,2	51,55	82,73	34,45	73,95	130,07
Pau dos Ferros	2702	457	305	639	95,89	0,678	0,584	5,47	3,74	6,13	19,54	44,98	9,05	29,12	60,55	32,5	86,56	152,17
Joao Camara	1902	56	129	745	69,79	0,595	0,484	10,73	6,68	15,56	35,99	62,19	23,12	52,74	79,88	33,43	74,14	124,23
